year,country,life_ladder,log_gdp_per_capita,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect,latitude,longitude,tavg,tmin,tmax,wdir,wspd,pres
2019,Croatia,5.626,10.258,0.936,70.8,0.739,-0.137,0.932,0.551,0.269,45.815011,15.981919,15.0090411,10.85232877,19.1090411,154.7307692,7.407142857,1016.221429
2019,Denmark,7.693,10.954,0.958,72.7,0.963,0.02,0.174,0.862,0.181,55.676097,12.568337,9.899175824,6.890136986,12.77637363,204.7445055,18.25494505,1012.870604
2019,Dominican Republic,6.004,9.821,0.884,66.1,0.877,-0.123,0.746,0.784,0.264,18.486058,-69.931212,26.96027397,23.47780822,32.11342466,71.21917808,7.017534247,1015.248219
2019,Egypt,4.328,9.373,0.772,62,0.774,-0.199,0,0.517,0.313,30.04442,31.235712,23.29534247,18.72986301,28.42054795,155.3489011,14.27917808,1013.624932
2019,El Salvador,6.455,9.08,0.764,66.4,0.877,-0.109,0.682,0.871,0.271,13.69294,-89.218191,27.38054795,22.75780822,32.64246575,109.9726027,8.757808219,1010.638356
2019,Estonia,6.035,10.511,0.934,68.8,0.887,-0.096,0.576,0.804,0.156,59.436961,24.753575,7.312054795,3.709863014,10.54712329,189.2774725,11.10604396,1011.16511
2019,Finland,7.78,10.792,0.937,72,0.948,-0.052,0.195,0.755,0.181,60.173324,24.941025,7.057534247,3.934794521,10.23808219,196.6401099,15.88104396,1010.909341
2019,France,6.69,10.74,0.958,74,0.827,-0.133,0.568,0.735,0.25,48.856614,2.352222,13.38465753,9.694520548,17.7890411,187.8653846,11.3282967,1015.982143
2019,Gabon,4.914,9.607,0.763,60.2,0.736,-0.203,0.846,0.693,0.413,0.416198,9.467268,26.68273973,24.23506849,29.45178082,203.4767123,11.68849315,1011.410959
2019,Gambia,5.164,7.699,0.694,55.3,0.677,0.41,0.798,0.773,0.401,13.454876,-16.579032,25.7169863,20.36027397,32.57342466,224.1910112,11.55589041,1011.410411
2019,Germany,7.035,10.893,0.886,72.5,0.885,0.057,0.462,0.751,0.226,52.520007,13.404954,11.17506849,7.490684932,15.00767123,205.978022,13.85945205,1014.423288
2019,Ghana,4.967,8.596,0.746,57.6,0.787,0.116,0.857,0.682,0.27,5.603717,-0.186964,27.66164384,24.97315068,31.51452055,223.1452055,15.11013699,1011.625205
2019,Greece,5.952,10.319,0.891,72.6,0.614,-0.289,0.848,0.668,0.236,37.983917,23.72936,18.91972603,15.1771978,23.12520548,156.8567493,7.281593407,1014.223626
2019,Guinea,4.768,7.849,0.655,55.5,0.691,0.097,0.756,0.685,0.473,9.641185,-13.578401,27.14575342,23.86849315,30.55726027,260.8405797,9.08109589,1011.732055
2019,Hungary,6,10.393,0.947,68,0.798,-0.195,0.884,0.743,0.18,47.497912,19.040235,12.68520548,8.019452055,17.51972603,199.5686813,9.063186813,1016.289835
2019,Iceland,7.533,10.931,0.982,73,0.959,0,0.699,0.836,0.178,64.126521,-21.817439,5.696712329,2.761917808,8.930958904,138.5369863,16.63616438,1007.054795
2019,India,3.249,8.818,0.561,60.5,0.876,0.112,0.752,0.648,0.466,28.613939,77.209021,26.39287671,19.82,32.75479452,187.7974684,5.936712329,1008.753425
2019,Indonesia,5.347,9.377,0.802,62.3,0.866,0.555,0.861,0.877,0.302,-6.208763,106.845599,28.49726027,25.49616438,32.14821918,168.8529412,7.365205479,1010.592055
2019,Ireland,7.255,11.371,0.944,72.4,0.892,0.074,0.373,0.807,0.223,53.349805,-6.26031,9.886027397,6.836164384,14.25616438,208.6181319,17.28846154,1012.215934
2019,Israel,7.332,10.601,0.946,73.5,0.834,0.085,0.743,0.635,0.266,32.0853,34.781768,20.63780822,15.52547945,26.08465753,186.3131868,11.74313187,1013.114286
2019,Italy,6.445,10.655,0.838,73.8,0.709,-0.082,0.866,0.631,0.328,41.902784,12.496366,16.85589041,12.07835616,22.02410959,129.1675824,10.18021978,1014.501374
2019,Jamaica,6.309,9.186,0.878,67.5,0.891,-0.137,0.885,0.752,0.195,18.042327,-76.802893,27.75068493,23.76219178,31.71671233,162.6876712,17.64493151,1013.746849
2019,Japan,5.908,10.632,0.878,75.1,0.806,-0.255,0.617,0.743,0.194,35.709026,139.731992,16.1109589,12.58657534,20.42630137,191.3945205,10.23342466,1014.030959
2019,Kazakhstan,6.272,10.179,0.951,65.2,0.852,-0.055,0.708,0.787,0.139,51.160523,71.470356,5.457808219,1.774794521,11.59506849,180.4398734,8.249041096,1019.531507
2019,Kuwait,6.106,10.817,0.842,66.9,0.867,-0.104,0,0.695,0.303,29.375859,47.977405,27.49835616,20.19671233,34.40821918,228.7030568,14.18039216,1010.44586
2019,Kyrgyzstan,5.685,8.567,0.877,64.4,0.92,-0.002,0.885,0.766,0.207,42.874621,74.569762,11.62368421,5.638011696,17.99181287,149.752809,11.19882698,0
2019,Laos,5.197,8.965,0.729,59.1,0.906,0.061,0.62,0.878,0.306,17.975706,102.633104,28.23534247,23.13890411,33.70246575,160.8273973,5.550684932,1008.972877
2019,Latvia,5.97,10.336,0.936,67.1,0.698,-0.194,0.789,0.575,0.212,56.949649,24.105186,8.930494505,5.945054945,11.72335165,195.5164835,12.15714286,1012.835165
2019,Lebanon,4.024,9.597,0.866,67.6,0.447,-0.081,0.89,0.322,0.494,33.888629,35.495479,21.53315068,18.77115385,24.51016484,167.1703297,12.79697802,1014.140385
2019,Libya,5.33,9.627,0.827,62.3,0.762,-0.073,0.686,0.709,0.401,32.887209,13.191338,21.14553073,17.07402235,26.27122905,185.1735294,11.85223464,1015.840223
2019,Lithuania,6.064,10.518,0.918,67.9,0.78,-0.251,0.783,0.566,0.276,54.687156,25.279651,9.213150685,5.236538462,13.55671233,205.6320225,13.67582418,1013.726099
2019,Luxembourg,7.404,11.648,0.912,72.6,0.93,-0.045,0.39,0.789,0.212,49.611621,6.131935,11.34684932,5.00109589,17.04986301,178.7335165,14.96620879,1016.117582
2019,Mali,4.988,7.752,0.755,52.2,0.67,-0.038,0.846,0.712,0.358,12.639232,-8.002889,29.98739726,23.3739726,36.82630137,142.489011,10.24684932,1012.864384
2019,Malta,6.733,10.677,0.922,72.2,0.924,0.087,0.689,0.707,0.356,35.898909,14.514553,19.42054795,16.05824176,23.42438356,227.3818681,16.12307692,1015.396429
2019,Mauritania,4.153,8.556,0.798,57.3,0.628,-0.102,0.743,0.692,0.26,18.07353,-15.958237,25.00191781,20.60876712,30.98931507,185.2821918,16.97671233,1012.247671
2019,Mauritius,6.241,10.043,0.913,66.7,0.893,-0.053,0.81,0.808,0.149,-20.166896,57.502332,24.98273973,21.95013699,28.11972603,111.539726,15.84246575,1016.697534
2019,Moldova,5.803,9.475,0.809,65.7,0.784,-0.092,0.884,0.631,0.262,47.010453,28.86381,12.59506849,7.374520548,17.79369863,203.9164345,12.14010989,1016.003846
2019,Montenegro,5.386,9.97,0.832,68.7,0.694,-0.105,0.82,0.591,0.366,42.43042,19.259364,17.81287671,12.1690411,21.36703297,127.1538462,7.718406593,1015.325824
2019,Morocco,5.057,8.925,0.535,66.2,0.757,-0.244,0.757,0.589,0.41,33.97159,-6.849813,16.96,11.54038462,22.14065934,175.4626039,10.41016484,1017.494231
2019,Mozambique,4.932,7.155,0.742,55.2,0.87,0.073,0.682,0.587,0.384,-25.891968,32.605135,23.83315068,18.78931507,30.52520548,151.0384615,15.23753425,1017.144658
2019,Netherlands,7.425,10.953,0.941,72.4,0.886,0.213,0.36,0.838,0.231,52.370216,4.895168,10.93351648,7.513186813,14.41950549,198.1565934,17.60659341,1014.114835
2019,New Zealand,7.205,10.666,0.939,73.4,0.912,0.157,0.234,0.816,0.191,-41.28646,174.776236,14.02273973,11.32630137,16.70547945,161.2472527,25.67637363,1013.101099
2019,Nicaragua,6.113,8.595,0.874,67.8,0.883,0.029,0.622,0.835,0.337,12.114993,-86.236174,27.79068493,23.37178082,33.06575342,111.3589041,14.64438356,1010.478082
2019,Niger,5.004,7.106,0.677,54,0.831,0.026,0.729,0.816,0.304,13.511596,2.125385,31.34986301,25.17232877,37.71863014,161.3917808,12.20684932,1010.571507
2019,Norway,7.442,11.061,0.942,73.3,0.954,0.111,0.271,0.823,0.195,59.913869,10.752245,7.395342466,4.052328767,11.27452055,123.6730769,10.12967033,1010.617308
2019,Panama,6.086,10.356,0.886,69.7,0.883,-0.199,0.869,0.878,0.244,9.101179,-79.402864,26.86,23.31013699,31.19726027,249.6911765,8.918630137,1010.01768
